METH	UNIT	M_DESCR
624	Gene	+ = presence of Ml-h
625	Gene	+ = presence of Ml-k
626	Gene	+ = presence of Ml-v
628	Gene	+ = presence of Ml-a13
629	Gene	+ = presence of Ml-a3
633	Perc	100 Seeds germinated in a petridish with GA3 solution of 1000 ppm at room temperature.
634	Perc	50 Seeds incubated in 1000 ppm GA3 for at least 24 h., and subsequentely sown in a greenhouse at 15-20°C and 16 h. light. Count healthy seedlings.
636	Stand	(3= small, 5= medium, 7=large)
638	State	Color at seed ripe stage (1=white,2=yellow,3=green,4=orange,5=brown,6=white+green,7=yellow+green,8=2+4,9=4+5)
640	Perc	Standardized ISTA method, using 200 seeds.
641	Perc	Standardized ISTA method, using 100 seeds.
643	Stand	Score top 15 cm. (0=absent, 1=very weak, .., 5= medium, .., 9= very strong)
644	Stand	Score at middle of the plant (1=very weak, ..., 9= very strong)
646	Stand	Measure base of calyx to stem (1=<5mm, 3=10mm, 5=25mm, 7= 50mm, 9=>75mm)
648	cm	Measure broadest part at commercial ripeness
650	Stand	(1=none, 3=slightly curved, 5=curved, 7=snake shape, 8=sickle shape, 9= U-shape)
652	Stand	Dtermine position widest part (3= 1/4 way from base to tip, 5= 1/2 way, 7= 3/4 way from base to tip)
653	Stand	(3=protruded, 5= rounded, 7= depressed)
655	State	Determine secondary color (1=green,2=milkywhite,3=deepyell,4=firered, 5=scarletred,6=lilacgray,7=purple,8=pu-bl,9=black)
657	Stand	(3 smooth, 5= medium, 7= rough)
659	Stand	Determine at broadest part (1=very loose (spongy), 3=loose (crumbly), 5=average, 7=dense, 9=very dense)
662	Stand	Score at middle of plant (1= flat, 5= medium, 9= very convex)
663	Stand	(1=greenish white, 3=white, 5= pale violet, 7= violet, 9=blueish violet)
665	State	Score at commercial ripeness (1=white, 3=green)
666	Perc	Standardized ISTA method, using 50 seeds.
675	Perc	Perc. sporulating surface of leaf discs inoculated with pathotype 1.2.3.4.7.8.10.11 scored day 6 (method Hodgson 1961)
671	Perc	Mix of pathotypes 1.2.3.7, 1.3.4.7.10 & 1.4.10.11. Weighted mean of 5 weekly observ. on perc. infected foliage. (1984)
673	Perc	Pathotype 1.2.3.4.5.7.10.11. Weighted mean of 5 weekly observ. on perc. infected foliage. (1986-87)
667	Perc	Blackleg. Perc. plants with symptoms after tuber inoc. with Erwinia susp. of 5 x 10^8 bact/ml. (method Munzert 1975).
677	State	Pathotype 1 (Dahlem D1) using Glynne-Lemmerzahl method (Hille 1965). (2=susc, 4=resist.)
679	State	Pathotype 6 (Olpe O1) using Glynne-Lemmerzahl method (Hille 1965). (2=susc, 4=resist.)
681	State	Mycel & pyknospores mix of 3 isolates put on 10 wounded tubers. Store 6 weeks (Langton'71). (2=susc. 4=resist)
684	Ratio	Rhizoctonia solani isolate 3: (number of resistant/inoculated clones)
685	State	Tubers screened with Streptomyces scabies by Wiersema (method Wiersema, 1970) (2=susc, 4=resist.)
687	ppm	Used method for Vit.C determination unknown.
688	State	1 genotype/accession. From rel. shoot length at 2 salt conc. (2=susc, 4=tolerant)
689	Perc	Perc. of the seedlings showing virus symptoms 4 weeks after inoculation.
690	Num	Flow cytometry to determine the DNA content in whole cells, which is compared with standards. (2n=24/48/60/72)
691	Num	mg reducing sugars (=glucose + fructose) /100g. fresh tuber weight, after 6 weeks storage at 4°C.
692	Perc	Tuber dry matter content determined after artificial drying.
693	Perc	Starch content of fresh tubers calculated from the under water weight.
694	State	Ro1 (Ecosse pop.) inoc.3 cysts. Analysis with Kort's elutriator, females extracted by centrifugation. (2=susc, 4=resist)
696	State	Ro1 rootball test. (2=susc, 4=resistant)
695	State	Pa2/3 (Chavornay pop.) inoc.3 cysts. Analysis with Kort's elutriator, females extrac. by centrifugation (2=susc,4=res.)
697	State	Ro2 rootball test. (2=susc, 4=resistant)
703	State	Pa2 rootball test. 57/187 pop. (2=susc, 4=resistant)
698	State	Ro3 rootball test. (2=susc, 4=resistant)
699	State	Ro5 rootball test. Harmerz pop. (2=susc, 4=resistant)
700	State	Pa1 rootball test. (2=susc, 4=resistant)
704	State	Pa2 rootball test. Winsen pop. (2=susc, 4=resistant)
708	State	Pa3 rootball test. Frenswegen pop. (2=susc, 4=resistant)
710	State	Pa3 rootball test. Rookmaker pop. (2=susc, 4=resistant)
701	State	Pa2 rootball test. (2=susc, 4=resistant)
702	State	Pa3 rootball test. (2=susc, 4=resistant)
706	State	Pa2 rootball test. Coll 54 pop. (2=susc, 4=resistant)
713	Ratio	Ro5 number of resistant/inoculated genotypes
715	Ratio	Pa3 number of resistant/inoculated genotypes
719	Ratio	Ro1,2,3,4,5 mixture. (number of resistant/inoculated genotypes)
720	Ratio	Rhizoctonia solani isolate 8: (number of resistant/inoculated clones)
722	Perc	Percentage amylose in the starch. Method Ruehl 1989, a modified iodine-blue-complex method.
723	g	Mean tuber yield per plant grown in the greenhouse.
724	State	(1=yellow, 2=red, 3= blue)
728	State	Browning of comm.ripe fruits, 5 min. after cutting(0=no browning,3=light, 5=intermediate, 7=dark, 9=very dark browning)
863	State	Resistance to B. lactucae race Bl 23 (EU-A 63/31/02/01), scale: 1= resistant - 9= susceptible, C= conflicting data
864	State	Resistance to B. lactucae race Bl 24 (EU-A 59/31/10/01), scale: 1= resistant - 9= susceptible, C= conflicting data
866	State	Resistance to B. lactucae isolate S1 (EU-A 61/59/01/00), scale: 1= resistant - 9= susceptible, C= conflicting data
868	State	Resistance to B. lactucae isolate CS9 (EU-A 63/63/01/00), scale: 1= resistant - 9= susceptible, C= conflicting data
870	State	Resistance to B. lactucae isolate TV (EU-A 63/59/03/00), scale: 1= resistant - 9= susceptible, C= conflicting data
872	State	0=fully resistant, 1= highly tolerant, 2=moderately tolerant, 3=slightly tolerant, 4=susceptible
874	State	when on 50% of the plants the first fruit has begun to ripen 1= <25 cm, 2= 25-45 cm, 3= 46-65 cm, 4= 66-85 cm, 5= >85 cm
876	State	1=White,2=Lightyellow,3=Yel,4=Yel-green,5=Purple with wh. base,6=Wh.with Pur. base,7=Wh.with Pur.margin, 8=Pur.,99=Other
878	State	1=White,2=Lemon-yellow,3=Pale orange-Yel,4=Or.Yel,5=Pale Or.6=Or.7=L.red,8=Red,9=D.red,10=Purple,11=Brown,12=Black99=Oth
880	State	1=Smooth, 2=Semi-wrinkled, 3=Wrinkled
881	Perc	Standardized ISTA method, using 300 seeds.
882	Num	number of days after sowing until first flower head
884	State	1 Milk white, 2 Yellowish, 3 Green, 4 Reddish, 5 Lilac grey, 6 Purple, 7 Purple black, 8 Black, 99 Other
887	State	1=very small, 2=small, 3=intermediate, 4=large, 5=very large
888	State	1=narrow obovate, 3=obovate, 5=broad obovate
890	Stand	natural infection. 1=no symptoms, 9=severe symptoms
893	State	1=one colored, 2=bi-colored
894	State	1=white, 2=pink, 3=red, 4=purple, 5=yellow-orange, 6=green
895	State	R=resistant, S=susceptible, %=segregating
896	State	S=susceptible, (S)= almost susceptible
897	Stand	field resistance  0=resistant to 10=susceptible
899	State	1 = resistant, 2 = partial resistant, 3 = susceptible
902	State	f. sp. Lycopersici, race 1 (R = resistant, IR = intermediately resistant, S = susceptible)
904	Perc	Percentage plants with symptoms
905	State	mean root rot index (RRI). 0=resistant, 5=susceptible
907	State	At harvest maturity 0=absent, 1=very weak, 3=weak, 5= medium, 7=strong, 9=very strong
908	State	(1=prostrate, .., 5=erect)
910	Stand	1=very small,..,9=very large
346	State	(1=white, 2=yellow, 3=light brown, 4=brown, 5=dark brown, 6=red, 7=green (chartreuze), 8=mixed population, 9=other)
349	State	(1=yellow, 2=green)
350	State	(1=vegetative, 2=seed, 3=both)
351	State	(1=round, 2=ovate, 3=obovate, 4=oval, 5=triangular, 6=arrowy, 7=spatulate, 8=linear)R
353	Days	Days from planting to 50% of plants start bolting i.e. growth meristeme visible or stem length > 10cm., 999= >100 days.
361	ppm	ppm. NO3 of dried plants by measurement of extinction with phospectrometer.
364	Stand	Measure at 2/3 from the base of the stem. (3=small, 5=intermediate, 7=large, 9=very large)
367	State	(1=pyramidal, 2=cylindric)
323	Stand	Field observation after flowering (1=no tillering, 9=all plants have tillered)
325	State	(1=entire, 2=not entire)
326	State	(1=light green, 2=medium green,3=dark green, 4=grey green, 5=blue green, 6=violet green)
329	State	Covering by inner leafes (1=not covered, 2=partly covered, 3=covered)
331	State	(1=white, 2=ivory, 3=yellow, 4=orange, 5=green, 6=pink, 7=purple)
335	State	(1=white, 2=ivory, 3=yellow)
337	State	(3=light green, 5=medium, 7=dark green)
338	Stand	Measure from the stem base to the outer lamina. (1=-144mm, 2=-184, 3=-224, 4=-264, 5=-304, 6=-344, 7=-384, 8=-424, 9=>)
340	State	(1=bulb, 2=agggregated bulbs, 3=rhizomes, 4=cloves, 5=foliage leaf bases, 6=bulb enclosed in communal skin, 7=other)
302	Num	Count days after sowing till 90% of healthy plants have yellow back of the head and brown bracteoles
305	g	Weigh 1000 seeds with a moisture content between 5.3 and 7.2%
307	cm	Average of 10 adjacent plants in the centre of a field
319	State	Score after ripening (1=ripe seeds turns loose of the receptacle, 9=seeds holds to the receptacle)
310	Num	Count the number of days between sowing and emergence of a few plants
313	Num	Count the days between 5% of the plants start flowering and 95% of the plants stop flowering
315	Stand	Multiply length and width, average of 10 flowers (1=<100, 3=100-120, 5=120-140, 7=140-160, 9=>160)
321	Num	In pots with specific soil. Count days to corolla 1st flower visible (1=<41, 2=41-60, 3=61-80, .., 8=161-180, 9=>180)
283	State	Percentage of leaf infected, inoculated with an isolate of Felix (0=0%,1=0-1%,..,8=-80%,9=-100%)R
297	Num	Gibberellin. Count days from planting to 50% of plants harvestable (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
288	Stand	Vegetative development about 1 month after emergence (3=much development, 7=little development)
292	Num	No treatment. Count days from planting to corolla 1st flower visible (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
294	Num	Gibberellin. Count days from planting to corolla 1st flower visible (1=<41. 2=41-60. 3=61-80. ... 8=161-180. 9=>180)
267	State	Outer leaves (1=white,2=light green,3=light violet)
268	State	Longitudinal section.(1=transverse narrow elliptic, 2, 3=circul, 4=broad el, 5=obovate, 6=broad ovate, 7=angular ovate)R
273	Stand	Observe infection of the spike (1=no infection in spike, 2=little infection, 9=whole spike infected)
286	kg	Yield of one evaluation plot (20 plants)
277	Perc	Calculated as sugar content minus glucose content
278	Num	Calculated as the quotient fructose content and glucose content
280	State	Score the infection type using the scale described by XSVPX  R
282	State	Inoculated with an isolate of Clement, score the infection type using the scale described by XSVPX R
243	Stand	Score followed by the year of observation between brackets (0=no infection, .., 9=totaly infected)
247	State	(1= yellowish green, 2=light green, 3=medium green, 4=grey green, 5=dark green, 6=blue green, 7=brown red)
249	Stand	At harvest maturity (1= no overlap, 5= half overlap, leaves touch on top, 9= complete overlap)
251	Num	Count the days from sowing to the moment that 50% of the plants start bolting, > = not bolting during experiment
264	State	At harvest maturity. (1=broad elliptic,2=broad ovate,3=circular,4=transverse broad elliptic)R
257	Stand	At harvest maturity, related to standards
258	Perc	Extraction and gaschromatological determination of fatty acid composition of seed oils
261	State	(1=yellow green, 2=light green, 3=medium green, 4=dark green, 5=blue green, 6=violet green)
231	Num	Count on main stem, average of 5 plants (V=variable)
221	State	(1=dominant main stem with some branching at top, 9=no dom. main stem and a lot of branching at top)
224	State	(1=end of flowering, 2=full flowering, 3=begin floweri, 4=spikes 100% visable, 5=75%, 6=50%, 7=25%, 8=first awns, 9=..)R
229	g	Calculate from the weights of three samples of 100 seeds
242	kg/m2	Yield of evaluation plot divided by area in square meters
234	Num	Count the days from 31/7 to 70% of pods on main stem are black (V=variable)
236	g	Calculate from the weight of 100 seeds of an air dried bulk sample (V=variable)
238	State	At full ripening time (1=erect, 3= semi erect, 5=horizontal, 7=semi pendant, 9=pendant)
240	Stand	(1=none, 3=some, 5=medium, 7=severe, 9=(almost) total lodging, V=variable)
197	cm	Average largest and smallest diameter measured over the seeds, 5 to 10 plants
199	State	Seedset of hulled flowers (1=bad,5=average,9=good)
201	State	(x[-y][/SP]=color x [with stripes of color y][and specks],color:BK=black,WH=white,GY=grey,BR=brown)
204	Perc	Extraction and determination of oilcontent of seeds (RIKILT RAPP.87-17)
206	Num	Days after 1/5 when 50 % of plants are heading
208	State	Colour fresh flowers (1=white,2=cream,3=yellow,4=orange,5=pink,6=lilac,7=red,9=dark red)
210	Num	Days after 15/7 when at least 70 % of plants show brown colouration at bottom 5 pods
212	Num	Number of flowering side branches of main branch during ripening
180	Perc	Total number of bolters relative to total number of plants
184	State	Score the growth stage on the scale given by Zadoks et al (1974) when most plants are around 40. R
198	Num	Quotient of the head diameter and the receptacle thickness, measured  where it is not hollow
189	State	Estimate the infection of the head at harvest (1=not infected, .., 9=heavily infected)
191	Stand	Judge the head and receptacle on appearance (1=very bad, 9=very good)
194	State	(1=no infected plants, 5=1 infected plant, 9=>1 infected plant in 20)
152	cm	Measure a few plants from the ground to the node bearing the flag leaf, after flowering
155	Num	Count the days from 28/4 to the moment of pollen release ('-'=already flowering on 28/4)
158	mm	Measure just before pollen release.(0=filaments are shrunk, -=filaments are connated)
159	State	(AnB:A=main color,nB=part of filam., P=purple,W=white,Y=yellow,B=black,1=edge,2=blush,3=top,4=basis)
163	cm	Average of bractwidths (largest extention), sample size is 4, measured at last ramification.
176	Perc	Content in an average mash sample, using less than 11 plants
167	mm	Measured at 1st internode above 1st flower when 1st pod is half grown or later
169	Num	Count the days from 1/6 when only 10% of plants still flower
171	State	Distribution on flowering stem. (0=absent, 1=some present, 5=inflorescense halveway, 9=up to the top)
130	cm	Measure leafs and seed stalks covering the ground
143	Stand	Degree of root lodging (1=none, 3=very few stalks lodging, 5=about half, 7=many lodged, 9=most lodged)
135	Stand	Degree of fibrousness. (3=tender, .., 7=hard)
137	State	(1=white,2=yellow,3=orange,4=red,5=purple)
139	State	Number of seeds per seedball (1=monogerm,3=mono and bigerm, 5=multigerm (2-4), 7=multigerm (>5))
142	Num	Count the days from sowing to emergence of first silk in 50% of plants
144	mm	Measure from the point of attachment on the ear penduncle to the tip of the de-husked ear
146	Num	Count and estimate the average number using a few ears
148	Perc	Percentage of tillering plants after flowering
150	State	(1=transparant,9=not transparant)
109	State	At fruit maturity(1=very thin easily splitting longitudinally to expose grain,2=not thin not split.)
113	State	(1=cream-white, 3=yellowish-light amber, 5=dark amber-reddish, 7=brownish red-red, 9=darker red-purple)
116	Stand	Lateral ridges of internodes(1=none, .., 5=cilia in a thin row along ridges, 7=a thicker or >1 row, ..)R
118	Stand	(1=no dead plants, 3=less than 25% dead plants, 5=25-50% dead, 7=50-75%, 9=more than 75% dead plants)
120	State	(1=tapering, 5=parallel, 9=fusiform)R
123	State	(1=yellow/white, 3=green, 5=red/purple, 7=brown, 9=blue/black, 0=other)
125	State	Just opened flowers. (0=no blotch, Y=yellow, W=white, O=orange, G=green, R=red, B=black, see reference !)R
101	mm	Measure largest width of just opened flowers, between brackets the width of lower part of the flower
103	State	Score twisting, late in the season. (-=deformed anthers and stigma, 1=no twisting, .., 9=very much)
105	Num	Count the days from 30/4 to the moment of pollen release
107	Stand	At culm section 3-5 cm. below spike.(3=pith thin,lumen about 3/4 of diameter, 7=pith thick,lumen 1/4)
70	Num	Count the days from sowing to 50% of spikes mature and (depending on the species) disarticulating
72	State	Post anthesis to maturity (1=no, 2=2 or more teeth, 3=upper spikelet only, 4=upper part spike, 5=all)R
74	Num	Quotient of the length of the glumes and the entire spikelet excluding awns
75	State	(length/width: 1=1, short, blunt, 3=1.5, short, 5=2, medium, 7=2.5, long, 9=>3, very long, pointed)
78	State	Uppermost of mature spikes.(1=few sterile, 3=one sterile, 5=sometimes fertile, 7=mostly fertile, 9=always fertile)R
82	Stand	Score uppermost node, at post anthesis to early maturation
83	State	Relative to spike (1=absent/scurs-very short awns, 3=awns<spike, 5=awns~spike, 7=awns>spike, 9=awns>2*spike)
87	State	(0=no pollen, G=yellow, P=purple, the letter is followed by a cipher indicating the exact color)R
50	State	(1=very uniform, .. ,9=all but uniform)
51	State	(1=white, 2=light yellow, 3=yellow, 4=light blue, 5=blue, 6=light red, 7=red, 8=dark red, 9=purple)
54	State	Observe during harvest (1=very close nests, .., 9=very wide)
66	Num	Excluding rudimentary spikelets, count from the lowermost fertile spikelet upwards, average of 10
60	Num	Count the days from sowing to 50% of plants in flower
61	mm	Measure at widest point, average of 10 plants, at post anthesis to early maturation
64	State	Count basal ones at post anthesis to early maturation prior to disarticulation.(1=0, 3=1, 5=1-2, 7=2-3, 9=3-4)R
67	State	Relative to adjacent rachis internode, lower 1/3 of spike.(spkl/intn: 1=<.5, 3=.5-1, 5=1, 7=1-1.5, 9=>1.5)
69	State	(1=long, cylindrical, 2=long, linear, flat, 2 rows, 3=long lanceolate, 4=lanceolate-long ovate, 5=ovate)
28	Stand	(3=small, 5=intermediate, 7=large, 9=very large)
29	Stand	(1=awnless. 3=scurs on tip only. 5=awns on tip only. 7=upper 1/2 - 3/4 awned/scurred. 9=awned)
44	State	Estimate the percentage of flowering plants at 1/10 (1=100%, 3=75%, 5=50%, 7=25%, 9=0%)
36	Num	Count the branches of the main stem longer then 5 cm., average of 3 plants
38	State	According to Kueppers-Sonnenberg, Pflanzenbau und Planzenschutz 6 (1955):115-124 R
40	mm	Diameter main stem at 6th internode, date: 1/8, average 3 plants
42	Num	Count the days from 1/7 when 50% of the tubers are about 2 cm. thick
55	Num	Count the days from sowing to emergence of first spike in 50% of plants
47	Num	Count the days from 1/9 when 70% of the leafarea is yellow
49	State	(1=long-oval, 2=clavate, 3=round, 4=fusiform, 5=long,roots, 6=root shape, 7=gristly, 8=very gristly, 9=worm)R
2	State	Old seeds (1=round and smooth, 9=not round and smooth)
964	State	At seedling stage; 0=Immune, 1-3=Resistant; 4-6= Intermediate; 7-9=Susceptible. According to McNeal et al (1971)
1005	State	0=Immune; 1=highly resistant; 3=resistant; 5=medium susceptible; 7=susceptible; 9=highly susceptible
1015	Num	Resistance to B. lactucae race Bl:26, number of plants showing sporulation with the total number of plants between brackets
1016	Num	Resistance to B. lactucae race Bl:27, number of plants showing sporulation with the total number of plants between brackets
1017	Num	Resistance to B. lactucae race Bl:28, number of plants showing sporulation with the total number of plants between brackets
1018	Stand.	Foliage inoculated with P. infestans pathotype  IPO 655-2a. (1=susc.,9=rest.)
1019	Stand.	Foliage inoculated with P. infestans pathotype  IPO-complex. (1=susc.,9=rest.)
1020	Stand.	Foliage inoculated with P. infestans, pathotype unknown. (1=susc.,9=rest.)
1021	Stand.	After 3 months storage at 4 degrees C., tuber slices fried and scored using a color chart. (1=low, 9=high crisp suitability)
1022	Stand.	After 6 weeks storage at 3.8 degrees C. and 2 weeks acclimatization at about 17 degrees, tuber slices fried according protocol A (about 3 min. at 180 degrees until bubbling stops). (1=low, 9=high crisp suitability)
1023	Stand.	Synchytrium endobioticum, pathotype 6. (1=susc, 9=resist.)
1024	State	1 = red, 2 = orange, 3 = cream-white, 4 = yellow (Golden Delicious), 5 = green-yellow (Cox Orange Pippin), 6 = green (Granny Smith)
1025	State	1 = red, 2 = red-purple, 3 = purple, 4 = brown, 5 = orange, 0 = none
1026	State	Eufrin, 2011, 1.1=ellipsoid, 1.2=ellipsioid-conical, 1.3=long-conical, 2.1=oblong, 2.2=oblong-conical, 2.3=conical, 3.1=globose, 3.2=globose-conical, 4.1=flat-globose, 4.2=intermediate-conical, 5.1=flat, 5.2=short-globose-conical, 6=oblong-waisted
1027	State	Eufrin 2011, 1=<45mm, 2=45-50mm, 3=50-55mm, 4=55-60mm, 5=60-65mm, 6=65-70mm, 7=70-75mm, 8=75-80mm, 9=80-85mm, 10=85-90mm, 11=90-95mm, 12=95-100mm, 13=100-105mm
1028	Perc	Measured with refractometer Atago ATC Brix 0-32%
1029	State	Estimating the fruitload on the tree and on the ground by observing the ratio apple:green leaves, one tree is used as reference to access the yield in kg. 0=0 kg/tree, 1=1-5, 2= 5-10, 3=10-15, 4=15-20, 5=20-25 kg/tree
1030	State	Percentage of fruits on the ground out of the fruits on the ground+tree. 1=5%,2=10%, 3=20%, 4=30%, 5=40%, 6=50%, 7=60%, 8=70%, 9=80%, 10=90-100%
1031	State	By tasting: 1=sourness/sweetness same level, 2=slightly sweeter than sour, 3= stronger sweet than sour, 4= much stronger sweet than sour, 5=slightly stonger sour than sweet, 6=stronger sour than sweet, 7 much more sour than sweet
1032	Stand	By tasting: 1=very soft, 2=soft, 3=slightly soft, 4=preferably for eating (soft), 5 between 4 and 6, 6=preferably for eating (hard), 7=slightly hard, 8=hard, 9=very hard
1033	Stand	Eufrin, 2011, 1 = extremely poor, 3 = poor, 5 = intermediate, 7 = good, 9 = exelent
1034	State	In september indicating earlyness, 1=extremely hard for eating-strong astringency taste, 2=hard-astringent, 3=slightly hard, 4=good ripeness-slightly hard, 5=good ripeness, 6=slightly soft, 7=parts are soft, 8=large part rotten, 9=entirely rotten
1035	Stand	1 = thin, 5 = medium, 9 = very thick
1036	State	0=no symptoms,1=0-5% leaves with secondary infection,2=5-25% sec inf on leaves, 3=as 2 with few primary infections, 4, 5=widespread sec inf-few twigs or flowers with prim inf, 6, 7=half of the shoots with prim inf, 8, 9=almost all twigs have prim inf
1037	State	0=no visible symptoms,1=few small spots,3=immediately apparent-lesions very thinly scattered,5=infection widespread-most leaves with one lesion,7=heavy infection-multiple lesions or more large spots on most leaves,9=max infection-leaves black
1038	Num	Number of symptoms on three trees e.g. 0-1-2 = first tree no symptoms, second tree one symptom and third tree 2 symptoms, x = missing tree
1039	State	1= 0-30 degrees (standing up)-flexibility low,2=0-30 deg-flex high 3=30-60 deg-flex low, 4==30-60 deg-flex high, 5=60 deg-flex medium, 6=60-90 deg-flex low,7= =60-90 deg-flex high, 8=90-120 deg-flex low, 9=90-120 deg-flex high (hanging down)
1040	State	1=very poor architecture, 2=poor, 3=slightly poor, 4=between 3 and 5, 5=slightly good, 6 between 5 and 6, 7=good, 8=very good, 9=exelent
1041	State	1 = 20-25mm, 2 = 25-30mm, 3 = 30-35mm, 4 = 35-40mm, 5 = 40-45mm, 6 = 45-50mm, 7 = 50-55mm
1042	Stand	1 = extremely weak, 3 = weak, 5 = intermediate, 7 = vigorous, 9 = extremely vigorous
1043	Stand	1 = no shoots, 3 = low amount, 5 = moderate amount, 7 = high amount, 9 = extremely high
1044	Stand	1 = completely bold, 3 = small amount of buds and spurs, 5 = moderate amount of spurs and buds, 7 = high density of spurs and buds, 9 = extremely high density of spurs and buds
1045	State	1 = <10cm, 2 = 10-15cm, 3 = 15-20cm, 4 = 20-25cm, 5 = 25-30cm, 6 = 30-35cm, 7 = 35-40cm, 8 = >40cm
1046	State	1=erect, 3=semi erect, 5=horizontal
1047	State	1=truncate, 2 =rounded, 3=obtuse
1048	State	1=white, 2=yellowish white, 3=yellow, 4=brown, 5=light green, 6=medium green,7= dark green, 8=pink, 9=dark pink red, 10=red, 11=purple, 12=violet, 13=black
1049	State	1=absent; 2=present in a few plants; 3=present in majority of plants; 4=presence very obvious
1050	Num	Count days after 1 September when >50% plants show inflorescence emergence, 999=not flowering during experiment
1051	State	1 Conical,   2 Cylindrical,  3 Obconical
1052	State	3 Short, 5 Medium, 7 Long
1053	State	1 Flat, 2 Rounded, 3 Obconical
1054	State	1 Blunt, 2 Slightly pointed, 3 Strongly pointed
1055	State	1 Light brown, 2 Dark brown, 3 Black
1056	Perc	Standaard ISTA method, using 200 seeds (without pretreatment 3 days 5 C, TPL 20°C). Scored by using 3rd ed. ISTA Handb. On Seedl. Eval. with amendment of 2009
1057	Perc	Unheated greenhouse test in summer, using 150 seeds, pretreatment 24 hours soaking with 700 ppm GA3 in the dark, counting healthy seedlings
1058	Perc	Standaard ISTA method, using 200 seeds, pretreatment 48 hours soaking with 700 ppm Ga3 in dark TPL 20°C
1059	Perc	Standard ISTA method, using 150 seeds, counting not germinating seeds with a hard seedcoat as dormant seeds, TP 20°C
1060	Perc	Standard ISTA method, using 200 seeds, SL 20°C
1061	State	Resistance to Nasonovia ribisnigri (pathotype Nr:0), in general 2 separate scores per acc, using the mean score when scores not too conflicting: scale: 1= resistant - 9= susceptible, C= conflicting data
1062	Num	Average whitefly survival (adults alive/day, max score = 1)  using equation of Maliepaard et al (1995) , during 11 days after infestation.
1063	Num	Trichomes/mm2
1064	Num	Average of whitefly density (adults/cm-2) on day 9, 23 and 37 after infestation
1065	State	1 = indoor, 2 = outdoor, 3 = indoor and outdoor
1066	State	1 = white, 2 = yellow, 3 = black
1067	State	1 = erect, 3 = semi-erect, 5 = prostrate
1068	State	1 = entire, 2 = lobed, 3 = divided
1069	Stand	1 = very sparse, 3 = sparse, 5 = medium, 7 = dense, 9 = very dense
24	State	Percentage of leaf infected (0=0%, 1=0-1%, 2=1-5%, 3=5-10%, 4=10-20%, 5=20-30%, 6=30-40%, 7=40-60%, 8=60-80%, 9=>80%)R
376	mg/ml	Mixt. sand+infested soil (9:1), 22/17 oC, 5 weeks. 100 mg roots cruched in PBStween buffer (1:20). Elisa readings conv.
378	Count	Seedlings in tubes with silversand and Steiner solution. Inoculated with 300 nematodes. Count cysts after 4 weeks.
381	State	Longit. sect. (1=narrow elliptic,2=ell.,3=circular,4=broad el,5=narrow oblong,6=na.obtriangular,7=non-swollen,8=fibrous)
384	Count	Count days to 10% of flowers have opened after emergence (annual forms) or after first indication seedstalk (biennual).
386	State	Scored 31/5. (1=rosette stadium, 2=starting to bolt, 3=bolting, 4=fully bolting (<10% flowering), 5=flowering plants)
390	kg	Measure total fresh matter yield (leaves, stem and root) per plant in vegetative stage. 10-30 plants per accession.
392	State	(1=narrow elliptic,2=el.,3=broad el.,4=circular,5=transverse broad el.,6=transv.el.,7=obovate,8=broad obtrul,9=triang.)R
396	State	(1=flat, 3=slightly raised, 5=round, 7=slightly pointed, 9=strongly pointed)
398	State	(1=white, 2=cream, 3=yellow to brown, 4=red, 5=violet, 6=green)
401	Stand	Count the days after sowing when 75% of the foliage has fallen over. (1=very early <119 days, .., 9=very late >216 days) > = not fallen over during experiment
405	Stand	Score red color of seedlings after cold treatment (1=little, 5=moderate, 9=much)
408	Num	Elisa means, test according to Buercky and Buettner 1985.
410	Stand	Score at 7th leaf stage. (3=weak, 5=medium, 7=strong)
412	State	Score at 7th leaf stage. (1=elliptic, 2=broad elliptic, 3=circular, 4=ovate, 5=broad ovate, 6=triangular)
415	State	(1=no monoecious plants, 3=25%, 5=50%, 7=75%, 9=only monoecious plants)
417	State	(1=none, 3=25%, 5=50%, 7=75%, 9=all)
418	Num	Count days from sowing till 10% of plants have stem of 5 cm.
421	Perc	Race 2, percentage of resistant plants.
423	State	(1=white, 2=yellow green, 3=green, 4=red)
424	mm	Measured on longest leaf from axil to tip, at harvest maturity, average of 10 plants.
427	State	Score at harvest maturity (1=light green, 2=dark green, 3= blue green, 4=red green)
429	State	Score at harvest maturity the longitudinal section (1=flat round, 2=round, 3=deep round, 4=elongated, 5=obovate)R
432	State	(1=very resistant, 2=resistant, 3=partial resistant, 4=susceptible, 5=very susceptible)R
434	State	Isolate 116 (1=little and small galls at hairy roots, .., 9=strong galls at taproot)R
436	Stand	Degree of bolting in year of sowing (1=0-10%, 5=ca.50%, 9=90-100%)
439	cm	Measured plant height at state 9 (IBPGR descriptors 1991).
441	Count	Count days to 10% of flowers have opened after sowing.
443	State	Tested against race 4 (1=resistant, 2=susceptible)
452	State	Resistance to B. lactucae race NL11 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
454	State	Resistance to B. lactucae race NL13 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
456	State	Resistance to B. lactucae race NL15 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
