ENR	CNR	ADDR	E_YEAR	E_DESCR
240	37	IVT	1979	Sowing date = March 30, planting date = May 9, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 360-461, experimentists H. Roelofsen and G. Pet, standard is Sonatine (F1).
241	37	IVT	1980	Sowing date = April 1, planting date = May 2, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 462-535, experimentists H. Roelofsen and G. Pet, standard is Sonatine (F1).
242	37	IVT	1981	Sowing date = March 27, planting date = May 6, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 536-691, experimentists G. Pet and L. de Groot, standard is Sonatine (F1).
243	37	IVT	1982	Sowing date = March 26, planting date = May 4, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 692-827, experimentists G. Pet and L. de Groot, standard is Sonatine (F1).
244	37	IVT	1979	Sowing date = March 30, planting date = May 9, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 828-909, experimentists H. Roelofsen and G. Pet, standard is Sonatine (F1).
245	37	IVT	1980	Sowing date = April 1, planting date = May 2, IVT glasshouse IV, unheated, soil culture, one stem, 5 plants per field, collection no. 910-1026, experimentists H. Roelofsen and G. Pet, standard is Sonatine (F1).
246	37	IVT	1983	Sowing date = March 31, planting date = May 10, IVT glasshouse I, heated, temp. 20/15 C day/night, soil culture, one stem, 5 plants per field, collection no. 1027-1177, experimentists G. Pet and L. de Groot, standard is Sonatine (F1).
247	37	IVT	1984	Sowing date = March 16, planting date = April 26, IVT glasshouse I, heated, temp. 20/15 C day/night, soil culture, one stem, 5 plants per field, collection no. 1178-1297, experimentists G. Pet and L. de Groot, standard is Sonatine (F1).
248	37	IVT	1985	Sowing date = April 9, planting date = May 13, IVT glasshouse II, heated, temp. 20/15 C day/night, soil culture, one stem, 5 plants per field, collection no. 1298-1371, experimentists G. Pet and L. de Groot, standard is Sonatine (F1).
249	37	IVT	1986	Sowing date = March 17, planting date = May 7, IVT glasshouse II, heated, temp. 20/15 C day/night, soil culture, one stem, 5 plants per field, collection no. 1372-1475, experimentists G. Pet and L. de Groot, standard is Counter (F1).
250	38	IVT	1977	Sowing date = March 4, Planting date = April 4, IVT Glasshouse V, heated, soil culture, 2 stems, 5 plants per field, collection no 1-269, experimentists H. Roelofsen and G. Pet, standard = Bruinsma Wonder
251	38	IVT	1978	Sowing date = March 3, Planting date = April 20, IVT glasshouse V, heated, soil culture, 2 stems, 5 plants per field, collection no. 331-427, experimentists H. Roelofsen and G. Pet, standard is Bruinsma Wonder
253	38	IVT	1980	Sowing date = February 2, Planting date = April 17, IVT glasshouse XII, heated, soil culture, 2 stems, 4 plants per field, collection no. 567-659, experimentist H. Roelofsen and G. Pet, standard = Bruinsma Wonder
254	38	IVT	1981	Sowing date February 18, Planting date April 8, IVT glasshouse XII, heated, soil culture, 2 stems, 5 plants per field, collection no 444-543, experimentist L. de Groot and G. Pet, standard is Bruinsma Wonder
255	38	IVT	1982	Sowing date = March 15, Planting date = April 26, IVT glasshouse XII, heated, soil culture, 2 stems, 5 plants per field, collection no. 660-762, experimentist L. de Groot and G. Pet, standard is Bruinsma Wonder
256	38	IVT	1983	Sowing date = February 28, Planting date = April 13, IVT glasshouse XII-IX, heated, soil culture, 2 stems, 5 plants per field, collection no. 763-869, experimentists L. de Groot and G. Pet, standard = Bruinsma Wonder
257	38	IVT	1984	Sowing date = February 24, Planting date = April 18, IVT glasshouse no. XII, heated, soil culture, 2 stems, 5 plants per field, collection no.871-934, experimentists L. de Groot and G. Pet, standard = Bruinsma Wonder
258	38	IVT	1985	Sowing date = March 11, Planting date = April 26, IVT glasshouse XII, heated, soil culture, 2 stems, 5 plants per field, collection no. 935-981, experimentist L. de Groot and G. Pet, standard = Bruinsma Wonder
259	38	IVT	1986	Sowing date = March 13, Planting date = May 1, IVT glasshouse II-I, heated, soil culture, 2 stems, 5 plants per field, collection no. 982-1021, experimentist G. Pet, standard = Bruinsma Wonder
260	37	IVT	1987	Sowing date = March 20, Planting date = April 28, IVT glasshouse no. II-II, soil culture, 1 stem, 5 plants per field, collection no. 1476-1574, experimentist G. Pet, standard = Sonatine
261	39	IVT	1978	Sowing date = January 31, Planting date = March 31, IVT Glasshouse no. 12-7, heated, soil culture, 2 stems, 5 plants per field, collection no. 33-68, experimentist G. Pet, Standard = Claresse
262	39	IVT	1979	Sowing date = January 29, Planting date = March 28, IVT glasshouse no. 12-5, heated, soil culture, 2 stems, 5 plants per field, collection no. 1-111, experimentist G. Pet, standard = Claresse
263	39	IVT	1980	Sowing date = January 30, Planting date = March 28, IVT glasshouse XII-V, heated, soil culture, 2 stems, 5 plants per field, collection nr. 1-111, experimentist G. Pet, Standard = Claresse
265	39	IVT	1982	Sowing = date March 3, Planting date = April 22, IVT glasshouse no. II-III,heated, soil culture, 2 stems, 5 plants per field, collection no. 210-219, Experimentist = G. Pet, Standard = Claresse
266	39	IVT	1987	Sowing date = January 23, Planting date = March 19, IVT Glasshouse no. XII-II, heated, soil culture, 2 stems, 5 plants per field, collection no. 220-273, Experimentist G. Pet, Standard = Claresse
267	37	IVT	1988	Sowing date: March 24,Planting date: May 2. IVT Glasshouse no.II-II. Slightly heated cultivation in greenhouse. 5 plants per field, collection no: 1575-1661, Sandy soil, Surface: 250m2, Experimentist: G.Pet, Standard = Sonatine.
268	37	IVT	1989	Sowing date = February 3, Planting date = March 15, IVT Glasshouse no. XII-III, heated, rockwool culture, 1 stem, 5 plants per field, collection no 1664-1763, Experimentist G.Pet, standard = Sonatine
269	37	IVT	1990	Sowing date = January 19, Planting date = March 8, IVT Glasshouse II afd.II.Heated cultivation in greenhouse. 5 plants per field, rockwool culture, collection no. 1764-1860, experimentist = G.Pet, Standard = Sonatine.
6	1	VDHAVR	1985	Location: Rilland.
1	4	CGN	1985	
2	4	CEBECL	1985	
3	2	CGN	1985	Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.
309	16	TAKII	1992	Field trail, sowing date 21/4, researcher: Fukushima.
310	16	TAKII	1993	Field trail, sowing date 15/4 and 29/9, researcher: Fukushima. Leaf copy and photograph present.
311	6	CPRO	1994	Field trial. Sowing date 16/3, planting date 26,27/4/94. 23 reference varieties. Location de Goor. Planting distance 30x30. Mainly butterhead, grasse and stalk lettuce.
312	7	CPRO	1994	Observations on dry seed: thousand grain weight.
313	4	CGN	1993	Multiplication / evaluation, location the Born
314	4	CGN	1994	Multiplication / evaluation, location the Born
315	4	CGN	1995	Observation of seed traits
316	6	CGN	1994	Multiplication in greenhouse.
317	6	CGN	1995	Multiplication in greenhouse.
318	6	CGN	1995	Field characterization trial
319	36	CGN	1993	Multiplication in isolations
320	6	CPRO	1996	Lettuce multiplication in glasshouse. Vernalisation date for wild species 8-3, sowing date 9-4, planting date 9-5, planting distance 30x30, 8 plants per acc. L.sativa with foliar gibberelin spray 20ppm.
321	6	CPRO	1996	Lettuce field trial, all types. ouse. Sowing date 17-3, planting date 25-4, planting distance 30x30, 40 plants per acc., 24 reference varieties. Location de Goor, Wageningen.
322	38	CPRO	1996	Capsicum glasshouse multiplication. Sowing date 8-1, planting date 14-4. Rockwool culture, 5 plants per accession, 2 stems per plant.
323	17	CPRO	1996	Onion multiplication in the field. Sowing date 25-1, planting date 25-4, planting distance 40x8. Location de Goor, Wageningen.
324	6	CPRO	1996	Glasshouse trial, butterhead lettuce. Sowing date 28/12/95, planting date 15/2. 17 reference varieties, 40 pl/object. Planting distance 25x27. Location glashouse 10,dep.6.
328	3	PROCOT	1996	Flax, multiplication in Serpauluspolder near Hengstdijk, soil: sea clay, sowing date: 4/4/96, plots: 3m2, row distance in plots: 9 cm.
325	3	VDBILT	1996	Multiplication in Westdorpe, soil: seaclay, sowing date: 2/4/96, plots: 2,2x0,85m2, row distance in plots 8cm
326	3	CEBELY	1996	Flax, multiplication in Lelystad, soil: heavy sea clay, sowing date: 4/4/96, plots: 1.75x1.1 m2, row distance in plots: 9.1 cm.
327	3	WIERSU	1996	Flax multiplication in Dronten, soil: clay, sowing date: 27/3/96, 2000 seeds/m2, row distance in plots: 8.5.
329	1	VDHAVR	1996	T. sqarrosum, observation at disease nursery in Rilland.
330	1	VDHAVR	1995	T. squarrosum, observations on mildew and heading in greenhouse in Rilland. All objects were vernalized for 8 weeks at 4 oC.
331	1	CPRO	1992	Combination of rescaled results of screening for resistance to Fusarium culmorum performed in 1986-92 by C. Snijders (see Euphytica 50:171-179). Objects were scored from one up to seven years.
332	4	USKRAF	1997	Evaluation for F. oxysporum f.sp. pisi conducted in coarse-grade perlite. Inoculation by submerging roots into 10^6 spore suspension and pruning one third of rootsystem back in perlite.
333	4	USKRAF	1997	Evaluation for F. solani f.sp. pisi conducted in coarse-grade perlite. Inoculation by soaking seeds overnight in 10^6 spore suspension and planting in perlite. Evaluated two weeks after emergence.
334	4	USKRAF	1997	Evaluation for Aphanomyces euteiches conducted in coarse-grade perlite. Inoculation by pipetting 10^5 zoospore suspension on seedlings in perlite and incubating 1 to 2 weeks.
335	6	CPRO	1997	Glasshouse trial. Sowing date 27/12/96, planting date 13/2/97, 17 reference varieties, 40 pl/obj, planting distance 25x27 (30x30 for crisp). Location: CPRO glasshouse 10, dep.6
336	37	CPRO	1995	Multiplication and charaterization. Sowing date 10/2/95, planting date 24/3/95. 5 plants per field, heated glasshouse on rockwool culture
337	37	CPRO	1995	Multiplication and charaterization. Sowing date 14/6/95. 5 plants per field, heated glasshouse on rockwool culture.
338	37	CPRO	1993	Multiplication and charaterization. Sowing date 28/1/93, planting date 11/3/93. 5 plants per field, heated glasshouse on rockwool culture.
339	37	CPRO	1991	Multiplication and charaterization. Sowing date 18/1/91, planting date 5/3/91. 5 plants per field, heated glasshouse on rockwool culture.
340	37	CPRO	1992	Multiplication and charaterization. Sowing date 24/1/92, planting date 6/3/92. 5 plants per field, heated glasshouse on rockwool culture.
341	38	CPRO	1991	Multiplication and charaterization. Sowing date 23/11/90, planting date 24/1/91. 5 plants per field, heated glasshouse on rockwool culture.
342	40	NICZWA	1996	Multiplication and charaterization. 5 plants per field, heated glasshouse.
343	40	RUITER	1996	Multiplication and charaterization. 5 plants per field, heated glasshouse.
344	40	DEMOS	1996	Multiplication and charaterization. Sowinfg date 12/7/96, planting date 30/7/96. 5 plants per field, heated glasshouse.
345	40	ENZA	1996	Multiplication and charaterization. Sowing date 9/7/96, planting date 29/7/96. 5 plants per field, heated glasshouse.
346	17	CPRO	1990	Resistance test with wild onions in the field and glasshouse.
347	17	CPRO	1995	Characterization of Allium fistulosum. Sowing date 18/3/95, planting date 17/5/95, 60 plants per object.
348	17	CPRO	1994	Location: CPRO de Goor. Field evaluation of leek.
349	6	CAAES	1994	Screening of material resitant to European isolates of Bremia lactucae, to Californian isolates
350	17	CPRO	1997	Multiplication and charaterisation of union, sowing date 28/1/97, planting date 16/4/97, planting distance 40x8 cm, location de Goor.
351	6	CPRO	1997	Observation of seedcolor.
352	6	CPRO	1997	Field characterisation trial, sowing date 18/3/97, planting date 24/4/97, planting distance 30x30cm.
353	38	CPRO	1997	Characterisation anmultiplication in glasshouse. 5 Plants per object, sowing date 15/197, planting date 19/3/97.
354	6	CPRO	1997	Multiplication. 8 or 16 plants per object. Vernalisation date 24/2/97, sowing date 7/4/97, planting date 28/4/97.
355	2	ROSARD	1986	Genes of accessions with names corresponding to those in the tentative list presented at the ECP/GR Barley Working Group Meeting (Gatersleben, May, 1986).
356	2	CAMPBI	1985	Genes of accessions with names corresponding to those in the UK Barley Mildew Resistance Phenotypes: UK list 4/12/85
357	1	LHIVP	1997	Greenhouse trial, T.durum and T.tauschii sown in rows in  boxes. After 8 days inoculation by hand with spores of the isolate Felix. Scores 12 days after inoculation.
358	3	VDBILT	1997	Multiplication in Hoek, Zeews Vlaanderen, soil: seaclay, sowing date: 3/4/97, plots: 2.0x.9m2, rowdistance in plots 8.5cm
359	3	CEBELY	1997	Multiplication in Lelystad, soil: heavy seaclay, sowing date: 10/4/97, plots: 1.75x1.1m2, rowdistance in plots 9.1cm
360	3	WIERSU	1997	Multiplication in Dronten, soil: clay, sowing date: 7/4/97, plots: 2m2, rowdistance in plots 8cm
361	3	PROCOT	1997	Multiplication in Hulst, soil: light clay, sowing date: 3/4/97, plots: 3m2, rowdistance in plots 9cm
362	7	CPRO	1990	Combined results of seedling test with isolate ECD16/3/30. Clubroot resistance. Ref: Voorrips & Visser, 1993. Neth.J.Pl.Path.99:269-276.
363	7	HUIZER	1996	Charaterisation of early white cabage in the field.
364	40	DEMOS	1997	Multiplication in glass house. Sowing date: 11/7/97, planting date 31/7/97.
365	40	ROYSLU	1997	Multiplication in glass house.
366	17	CPRO	1996	Charaterisation of A.cepa. Sowing date 5/3/96. Standard: Jumbo.
367	12	NUNHEM	1994	Location: Haelen. Multiplication in isolation.
368	12	CGN	1995	Location: Elst. Multiplication in isolation.
369	12	CGN	1996	Location: Elst. Multiplication in isolation.
370	12	CGN	1997	Location: Elst. Multiplication in isolation.
371	12	CGN	1994	Location: Elst. Multiplication in isolation.
372	38	CGN	1998	Multiplication of sweet pepper in greenhouse. 5 plants per object, sowing date 15/1/98, planting date 9/3/98.
373	40	NUNHEM	1996	Multiplication of cucumber. 5 plants per object, sowing date 9/9/96, planting date 30/9/96.
374	40	NUNHEM	1997	Multiplication of cucumber. 5 plants per object, sowing date 6/6/97, planting date 27/6/97.
375	40	RZWAAN	1996	Multiplication of cucumber. 5 plants per object, sowing date 8/8/96, planting date 27/8/96.
376	40	BEJO	1997	Multiplication of cucumber. 5 plants per object, sowing date 21/7/97.
377	40	ENZA	1997	Multiplication of cucumber. 5 plants per object, sowing date 13/6/97.
378	40	NICKZW	1997	Multiplication of cucumber. 5 plants per object, sowing date 2/4/97, planting date 24/4/97.
379	40	ENZA	1998	Multiplication of cucumber. 5 plants per object, sowing date 26/3/98, planting date 16/4/98.
380	40	NICKZW	1998	Multiplication of cucumber. 5 plants per object, sowing date 2/4/98, planting date 24/4/98.
381	40	RZWAAN	1997	Multiplication of cucumber. 5 plants per object, sowing date 26/7/97, planting date 17/7/97.
382	40	RZWAAN	1998	Multiplication of cucumber. 5 plants per object, sowing date 12/6/98, planting date 7/7/98.
383	40	DEMOS	1998	Multiplication of cucumber. 5 plants per object, sowing date 26/5/98, planting date 18/6/98.
384	40	RUITER	1997	Multiplication of cucumber. 5 plants per object.
385	40	RUITER	1997	Multiplication of cucumber. 5 plants per object, sowing date 19/3/98, planting date 13/4/98.
386	40	NOVART	1998	Multiplication, 15 plants per accession.
387	3	PROCOT	1998	Multiplication in Heikant, st.Jansteen. Soil: light clay, sowing date 8/5/98, plots 3 m2, 2000 seeds/m2, very wet year.
388	3	WIERSU	1998	Multiplication in Dronten. Soil: clay, sowing date 4/5/98, plots 2 m2, 50 kg seeds/ha, very wet year.
389	3	CEBECL	1998	Multiplication in Lelystad. Soil: heavy sea clay, sowing date 4/5/98, plots 1.75x1.1 m2, row distance in plots 9.1 cm, very wet year.
390	3	PROCOT	1998	Test for Fusarium oxysporum f.sp. lini resistance in Ingelmunster.
391	3	CEBELY	1998	Test for Fusarium oxysporum f.sp. lini resistance in Lelystad.
392	38	CGN	1999	Multiplication of 34 accessions. Sowing date 21/1/99, planting date 18/3/99. 7 plants per accession.
394	38	NUNHEM	1999	Multiplication of 9 accessions. 7 plants per accession.
395	38	BEJO	1999	Multiplication of 5 accessions. 10 plants per accession.
396	38	BRUINS	1999	Multiplication of 19 accessions. 10 plants per accession.
397	38	RUITER	1999	Multiplication of 20 accessions. 8 plants per accession.
398	38	ENZA	1999	Multiplication of 19 accessions. 10 plants per accession.
399	38	RZWAAN	1999	Multiplication of 19 accessions. 8 plants per accession.
393	38	CGN	1999	Evaluation on energy requirement, done by R, Voorrips. Also as multiplication. 6 plants per accession. Sowing January 99, planting March 99.
400	3	VDBILT	1998	Multiplication in Hoek, Zeews Vlaanderen. Soil: seaclay, sowing date 31/3/98, plots 1.8m2, rowdistance in plots 8 cm
401	3	CPRO	1999	Evaluation in Born, Wageningen. Soil: sand, sowing date: 31/3/99, harvested by hand last week july, plots 2.2 m2
402	2	CPRO	1999	Multiplication and evaluation spring barley, EU barley project. Location: Born, Wageningen. Sandy soil, sowing date 01/04/099, harvested last week of july 1999.
403	40	CGN	1999	Multiplication cucumber. 26 accessions, 10 plants per accession, sowing date 4/2/99, planting date 23/3/99
404	40	RUITER	1999	Multiplication cucumber. 20 accessions, 10 plants per accession, sowing date 19/2/99
405	40	SVSENK	1999	Multiplication cucumber at SEMINIS. 20 accessions, 10 plants per accession
406	40	ENZA	1999	Multiplication cucumber. 20 accessions, 10 plants per accession
407	40	RZWAAN	1999	Multiplication cucumber. 19 accessions, 10 plants per accession, sowing date 3/6/99, planting date 24/6/99
408	40	BEJO	1999	Multiplication cucumber. 8 accessions, 10 plants per accession
409	40	DEMOS	1999	Multiplication cucumber. 19 accessions, 10 plants per accession, sowing date 9/4/99, planting date 2/5/99
410	40	NUNHEM	1999	Multiplication cucumber. 20 accessions, 10 plants per accession, sowing date 31/8/99, planting date 20/9/99
411	38	CGN	2000	Multiplication Capsicum, 7 plants/acc, sowingdate: 20/1, planting date 15/3
412	38	BEJO	2000	Multiplication Capsicum, 10 plants/acc
413	38	ENZA	2000	Multiplication Capsicum, 10 plants/acc, sown in march, planted in may
414	38	NUNHEM	2000	Multiplication Capsicum, 7 plants/acc
415	38	RZWAAN	2000	Multiplication Capsicum, 9 plants/acc, planted in july
416	38	RUITER	2000	Multiplication Capsicum, 8 plants/acc,planted in may
417	38	SYNENK	2000	Multiplication Capsicum, 8 plants/acc, sown in may, planted in july
418	38	SVSHON	2000	Multiplication Capsicum, 8 plants/acc, sowingdate: 15/5, planted in july
419	37	ENZA	2000	Multiplication tomato Verkerk collection, 10 plants per accession
420	37	SYNGEN	2000	Multiplication tomato Verkerk collection, 4 plants per accession, planted in July
421	40	BEJO	2000	Multiplication, 10 plants per accession, sowing date: March, planting date: April
422	40	ENZA	2000	Multiplication, 10 plants per accession, sowing date: March, planting date: April
423	40	NUNHEM	2000	Multiplication, 10 plants per accession, sowing date: 20/4, planting date: 9/5
424	40	NICZWA	2000	Multiplication, 10 plants per accession, planting date: 21/1
425	40	RZWAAN	2000	Multiplication, 10 plants per accession, planting date: July
426	40	RUITER	2000	Multiplication, 10 plants per accession
427	40	SVSHON	2000	Multiplication, 10 plants per accession, sowing date: 30/6, planting date: 21/7
428	17	CPRO	1999	Field trial, charaterisation of leek, sowing date 16/4, planting date 24/6
429	17	CPRO	1999	Field trial, charaterisation of allium, sowing date 9/3, planting date 4/5
430	6	CPRO	1998	Field charaterisation trial, all types of cultivated lettuce, sowing date 17/3, planting date 23/4
431	7	ROYSLU	1992	Charaterisation of cabbage, sowing date 7/4, planting date 6/6, planting distance 75/60 cm
432	17	CPRO	1998	Filed characterisation trial of allium cepa, sowing date 3/3, planting date 28/4
433	6	CPRO	1998	Multiplication and characterisation, sowing date with vernalisation 23/2, for greenhouse 8/4, planting date 8/5
435	41	WEIBLB	1977	Tubers from 1976 botanical seed multiplication in Braunschweig tested following spring in Freising.
436	41	WEIBLB	1978	Tubers from 1977 botanical seed multiplication in Braunschweig tested following spring in Freising.
437	41	WEIBLB	1979	Tubers from 1978 botanical seed multiplication in Braunschweig tested following spring in Freising.
438	41	WEIBLB	1981	Tubers from 1980 botanical seed multiplication in Braunschweig tested following spring in Freising.
439	41	WEIBLB	1982	Tubers from 1981 botanical seed multiplication in Braunschweig tested following spring in Freising.
440	41	WEIBLB	1983	Tubers from 1982 botanical seed multiplication in Braunschweig tested following spring in Freising.
441	41	WEIBLB	1984	Tubers from 1983 botanical seed multiplication in Braunschweig tested following spring in Freising.
442	41	WEIBLB	1985	Tubers from 1984 botanical seed multiplication in Braunschweig tested following spring in Freising.
443	41	WEIBLB	1986	Tubers from 1985 botanical seed multiplication in Braunschweig tested following spring in Freising.
444	41	WEIBLB	1987	Tubers from 1986 botanical seed multiplication in Braunschweig tested following spring in Freising.
445	41	WEIBLB	1988	Tubers from 1987 botanical seed multiplication in Braunschweig tested following spring in Freising.
446	41	WEIBLB	1989	Tubers from 1988 botanical seed multiplication in Braunschweig tested following spring in Freising.
447	41	WEIBLB	1991	Tubers from 1990 botanical seed multiplication in Braunschweig tested following spring in Freising.
448	41	WEIBLB	1992	Tubers from 1991 botanical seed multiplication in Braunschweig tested following spring in Freising.
449	41	WEIBLB	1993	Tubers from 1992 botanical seed multiplication in Braunschweig tested following spring in Freising.
467	41	BBAPS	1977	Leafs tested from plants of 1977 seed multiplication.
450	41	SVP	1975	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
451	41	SVP	1976	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
453	41	SVP	1977	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
454	41	SVP	1979	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
455	41	SVP	1981	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
456	41	SVP	1982	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
457	41	SVP	1983	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed.
460	41	SVP	1986	Field trial in Renkum on 3 plots of 4 plantlets per accession from true seed.
461	41	SVP	1987	Field trial in Renkum on 3 plots of 4 plantlets per accession from true seed.
462	41	SVP	1988	Field trial in Renkum on 3 plots of 4 plantlets per accession from true seed.
463	41	SVP	1989	Field trial in Renkum on 3 plots of 4 plantlets per accession from true seed.
464	41	CPRO	1997	Field trial in Renkum on 3 plots of 8 plantlets per accession from true seed.
465	41	CPRO	1998	Field trial in Renkum on 3 plots of 8 plantlets per accession from true seed. Weighted mean adjusted by multiplication with 1.3
466	41	CPRO	1999	Field trial in Renkum on 3 plots of 8 plantlets per accession from true seed. Weighted mean adjusted by multiplication with 1.3
468	41	BBAPS	1979	Leafs tested from plants of 1979 seed multiplication.
469	41	BBAPS	1980	Leafs tested from plants of 1980 seed multiplication.
470	41	BBAPS	1981	Leafs tested from plants of 1981 seed multiplication.
471	41	BBAPS	1982	Leafs tested from plants of 1982 seed multiplication.
472	41	BBAPS	1983	Leafs tested from plants of 1983 seed multiplication.
473	41	BBAPS	1984	Leafs tested from plants of 1984 seed multiplication.
474	41	BBAPS	1985	Leafs tested from plants of 1985 seed multiplication.
475	41	BBAPS	1986	Leafs tested from plants of 1986 seed multiplication.
476	41	BBAPS	1987	Leafs tested from plants of 1987 seed multiplication.
477	41	BBAPS	1988	Leafs tested from plants of 1988 seed multiplication.
478	41	BBAPS	1989	Leafs tested from plants of 1989 seed multiplication.
479	41	BBAPS	1990	Leafs tested from plants of 1990 seed multiplication.
480	41	BBAPS	1991	Leafs tested from plants of 1991 seed multiplication.
481	41	BBAPS	1992	Leafs tested from plants of 1992 seed multiplication.
482	41	BBAPS	1993	Leafs tested from plants of 1993 seed multiplication.
434	41	LHIVP	1971	Data from the publication: Wageningen Potato Collection (WAC), Inventory of seed stocks 1971.
483	41	CPRO	1996	Data from the publication: Janssen et al. (1996) Euphytica 92:287-294. (Resistance to root-knot nematodes; Meloidogyne spp.)
484	41	BBAPS	1976	Tubers from 1975 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
485	41	BBAPS	1977	Tubers from 1976 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
486	41	BBAPS	1978	Tubers from 1977 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
487	41	BBAPS	1979	Tubers from 1978 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
488	41	BBAPS	1980	Tubers from 1979 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
489	41	BBAPS	1981	Tubers from 1980 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
490	41	BBAPS	1982	Tubers from 1981 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
491	41	BBAPS	1983	Tubers from 1982 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
493	41	BBAPS	1985	Tubers from 1984 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
494	41	BBAPS	1986	Tubers from 1985 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
495	41	BBAPS	1988	Tubers from 1987 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
496	41	BBAPS	1989	Tubers from 1988 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
497	41	BBAPS	1990	Tubers from 1989 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
498	41	BBAPS	1991	Tubers from 1990 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
499	41	BBAPS	1992	Tubers from 1991 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
500	41	BBAPS	1993	Tubers from 1992 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
501	41	BBAPS	1994	Tubers from 1993 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
492	41	BBAPS	1984	Tubers from 1983 botanical seed multiplication in Braunschweig screened for Potato Wart resistance.
502	41	BBAPS	1986	Tubers from 1985 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
503	41	BBAPS	1987	Tubers from 1986 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
504	41	BBAPS	1988	Tubers from 1987 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
505	41	BBAPS	1989	Tubers from 1988 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
506	41	BBAPS	1990	Tubers from 1989 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
507	41	BBAPS	1991	Tubers from 1990 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
508	41	BBAPS	1992	Tubers from 1991 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
509	41	BBAPS	1993	Tubers from 1992 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
510	41	BBAPS	1994	Tubers from 1993 botanical seed multiplication in Braunschweig screened for Gangrene resistance.
511	41	BBAPS	1976	Tubers from 1975 botanical seed multiplication in Braunschweig screened for Dry Rot resistance.
512	41	BBAPS	1977	Tubers from 1976 botanical seed multiplication in Braunschweig screened for Dry Rot resistance.
513	41	HETTEM	1994	Tubers produced and screened in Emmeloord for resistance to Rhizoctonia solani.
514	41	MLOCHO	1975	Data from the publication: Dziewonska & Ostrowska (1978). Potato Res. 21:129-131.
452	41	SVP	1976	Field trial in Renkum on 24 plantlets / accession (no replications) from true seed from WAC-expedition-1974.
515	41	FALPG	1991	Data from the dissertation of Elhag (1991), Dept. Horticulture, Univ. Hannover. (Eignung von in vitro Verfahren zur Charakterisierung der Salztoleranz bei Solanum-Arten)
516	41	SVP	1978	50-100 seedlings per accession inoculated with PVX using a spray-gun.
517	41	SVP	1979	50-100 seedlings per accession inoculated with PVX using a spray-gun.
518	41	SVP	1982	50-100 seedlings per accession inoculated with PVX using a spray-gun.
519	41	SVP	1983	50-100 seedlings per accession inoculated with PVX using a spray-gun.
520	41	SVP	1984	50-100 seedlings per accession inoculated with PVX using a spray-gun.
521	41	SVP	1978	50-100 seedlings per accession inoculated with PVY using a spray-gun.
522	41	SVP	1979	50-100 seedlings per accession inoculated with PVY using a spray-gun.
523	41	SVP	1982	50-100 seedlings per accession inoculated with PVY using a spray-gun.
524	41	SVP	1983	50-100 seedlings per accession inoculated with PVY using a spray-gun.
525	41	SVP	1984	50-100 seedlings per accession inoculated with PVY using a spray-gun.
526	41	PCS	1997	Random sample of leaves of 6 plants / accession from isolation plots in Elst.
527	41	PCS	2001	Random sample of leaves of 6 plants / accession from isolation plots in Elst.
528	41	BGKF	1990	Tubers originating from 1989 botanical seed multiplication in Braunschweig.
529	41	BGKF	1991	Tubers originating from 1990 botanical seed multiplication in Braunschweig.
530	41	BGKF	1992	Tubers originating from 1991 botanical seed multiplication in Braunschweig.
